file cubic slicing complete
random10.M0.txt 0.7254 1.1782 2.8883
random10.M1.txt 0.7202 1.1324 2.5938
random10.M2.txt 0.7489 1.1329 2.2541
random10.M3.txt 0.982 1.1441 2.6138
random10.M4.txt 1.0965 1.4593 2.555
random10.M5.txt 0.8063 1.128 2.5641
random10.M6.txt 0.8861 1.1841 2.1925
random10.M7.txt 1.1298 1.9463 3.3607
random10.M8.txt 0.7711 1.1864 2.4785
random10.M9.txt 1.634 1.2636 2.3037
random20.M0.txt 31.2025 19.4716 47.7599
random20.M1.txt 29.1294 20.0031 33.6138
random20.M2.txt 29.4921 20.8541 32.3329
random20.M3.txt 34.8318 23.4855 34.1989
random20.M4.txt 52.3893 26.9974 45.3333
random20.M5.txt 45.1166 26.8851 36.7724
random20.M6.txt 55.0934 35.581 44.2463
random20.M7.txt 35.4426 20.5812 43.7372
random20.M8.txt 41.9561 38.5447 46.9757
random20.M9.txt 49.3733 36.5793 53.8767
random30.M0.txt 562.74 208.869 301.245
random30.M1.txt 499.63 199.439 279.34
random30.M2.txt 473.373 128.028 193.304
random30.M3.txt 405.131 333.791 234.316
random30.M4.txt 418.454 163.275 187.798
random30.M5.txt 466.152 179.922 473.822
random30.M6.txt 374.189 124.146 258.153
random30.M7.txt 441.163 127.112 175.913
random30.M8.txt 329.252 118.336 226.642
random30.M9.txt 346.167 129.254 181.439
random40.M0.txt 2293.02 500.345 1052.75
random40.M1.txt 1894.44 554.155 737.532
random40.M2.txt 2258.05 513.654 636.927
random40.M3.txt 1730.64 542.193 575.404
random40.M4.txt 1797.99 524.56 576.899
random40.M5.txt 1819.47 470.822 861.599
random40.M6.txt 1982.61 593.794 671.835
random40.M7.txt 2563.09 1645.69 2143.6
random40.M8.txt 4479.22 977.181 696.611
random40.M9.txt 3970.99 1418.09 879.525
random50.M0.txt 14691.4 2784.12 2283.84
random50.M1.txt 6848.82 1490.72 1554.62
random50.M2.txt 7234.41 1852.88 1545.9
random50.M3.txt 6667.37 1431.07 1570.74
random50.M4.txt 6752.33 1450.09 1783.17
random50.M5.txt 7058.97 1481.92 1520.61
random50.M6.txt 6706.63 1457.9 1526.02
random50.M7.txt 6570.39 1435.73 1573.32
random50.M8.txt 6893.56 1520.31 1526.69
random50.M9.txt 6687.84 1428.94 1628.26
random60.M0.txt 19483 3662.7 3260.49
random60.M1.txt 19682 4306.3 4598.49
random60.M2.txt 20332 3621.74 3352.91
random60.M3.txt 19592.7 3592.75 3512.59
random60.M4.txt 19596.8 4278.33 3899
random60.M5.txt 19562 4047.41 3556.97
random60.M6.txt 21486 3365.3 3076.63
random60.M7.txt 19109.9 3371.13 3071.52
random60.M8.txt 18386.7 3366.78 3180.37
random60.M9.txt 18592.1 3355.23 3120.59
random70.M0.txt 46136.3 6983.68 5942.53
random70.M1.txt 46313.1 7260.64 6258.66
random70.M2.txt 47467 7135.6 5943.57
random70.M3.txt 46584.6 7219.5 5918.5
random70.M4.txt 45334.9 7163.23 5981.46
random70.M5.txt 45550.6 6992.99 6128.7
random70.M6.txt 45949.7 7052.97 5895.86
random70.M7.txt 45112.3 7134.23 6029.73
random70.M8.txt 45198.9 6890.72 6029.35
random70.M9.txt 45955.7 7092.9 5919.22
random80.M0.txt 100690 13074.5 10369.6
random80.M1.txt 100721 13285.8 10487.7
random80.M2.txt 99439.9 13462 10327.6
random80.M3.txt 105786 15627.4 14787.3
random80.M4.txt 92560.8 11195.3 9211.79
random80.M5.txt 88284.8 11082.4 8995.5
random80.M6.txt 116733 20207.9 18694.8
random80.M7.txt 128390 13355.3 10880.9
random80.M8.txt 100011 13491.3 10550.6
random80.M9.txt 99628 11147.1 9129.29
random90.M0.txt 182310 19560 14573.1
random90.M1.txt 180316 19537.8 14461.2
random90.M2.txt 181260 19671.9 14752.7
random90.M3.txt 181283 19949.9 14535.2
random90.M4.txt 183621 19923.2 14455.5
random90.M5.txt 183492 19831.8 15248.4
random90.M6.txt 183163 20253.8 14506.9
random90.M7.txt 179908 19560 14478
random90.M8.txt 180824 20317.8 14645.5
random90.M9.txt 180223 19512.7 14501.5
random100.M0.txt 343681 33435.8 23408.8
random100.M1.txt 340989 32583 23135.3
random100.M2.txt 342073 32514.9 23235.3
random100.M3.txt 341028 33147 23298.1
random100.M4.txt 341143 32905.3 23315.7
random100.M5.txt 342879 32384.6 23361.7
random100.M6.txt 344543 33550.5 23775.9
random100.M7.txt 344953 32544.7 23223.7
random100.M8.txt 341627 32571.9 23139.8
random100.M9.txt 341654 32827.9 23429.3
